id,titulo,ciclo_proposto,disciplina_proposta,tema_proposto,tipo_schema,tipo_pretendido_original,conceitos_transversais,justificativa,objetivos_preliminares,prioridade,estado,origem,esforco,dependencias,decisao,notas,criado_em,decidido_em
IDEA-P4-082,Prescrição médica segura,Transversal,Habilidades Profissionais IV,Prescrição médica segura,a_definir,competência transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência transversal; enum tipo do schema (material|questions|flashcards|complete_pack) não cobre ""competência"" — ver ambiguidades no documento de especificação.",2026-09-15,
IDEA-P4-083,Técnica e orientação no uso de dispositivos inalatórios,Transversal,Habilidades Profissionais IV,Técnica e orientação no uso de dispositivos inalatórios,a_definir,habilidade clínica transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,"IDEA-3; IDEA-4",,"Relaciona-se aos packs Asma/DPOC; não fundir, tratar como habilidade transversal.",2026-09-15,
IDEA-P4-084,Avaliação e promoção da adesão terapêutica,Transversal,Habilidades Profissionais IV,Avaliação e promoção da adesão terapêutica,a_definir,competência transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência transversal; ver ambiguidades no documento de especificação.",2026-09-15,
IDEA-P4-085,"Integração de anamnese, exame físico, exames e plano terapêutico",Transversal,Habilidades Profissionais IV,"Integração de anamnese, exame físico, exames e plano terapêutico",a_definir,competência longitudinal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência transversal; ver ambiguidades no documento de especificação.",2026-09-15,
IDEA-P4-086,OSCE clínico integrado,Transversal,Habilidades Profissionais IV,OSCE clínico integrado,a_definir,"formato avaliativo/treino, não conteúdo autônomo",,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"A própria pauta marca como formato avaliativo, não conteúdo autônomo; manter como idea sem promover ou arquivar automaticamente.",2026-09-15,
IDEA-P4-087,Fundamentos da Medicina de Família e Comunidade,Clínico,Medicina de Família e Comunidade,Fundamentos da Medicina de Família e Comunidade,material,material introdutório,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-088,Método clínico centrado na pessoa,Clínico,Medicina de Família e Comunidade,Método clínico centrado na pessoa,a_definir,competência clínica transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,"Competência transversal; ver ambiguidades no documento de especificação.",2026-09-15,
IDEA-P4-089,Entrevista motivacional,Clínico,Medicina de Família e Comunidade,Entrevista motivacional,material,habilidade de comunicação clínica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-090,"Populações em situação de vulnerabilidade e equidade na APS",Clínico,Medicina de Família e Comunidade,"Populações em situação de vulnerabilidade e equidade na APS",material,material de saúde coletiva,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-091,Rastreamento e prevenção secundária na APS,Clínico,Medicina de Família e Comunidade,Rastreamento e prevenção secundária na APS,a_definir,material/questões/SRS,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-092,Envelhecimento saudável e patológico,Clínico,Medicina de Família e Comunidade,Envelhecimento saudável e patológico,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-093,Avaliação multidimensional da pessoa idosa,Clínico,Medicina de Família e Comunidade,Avaliação multidimensional da pessoa idosa,material,habilidade clínica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,IDEA-P4-092,,,2026-09-15,
IDEA-P4-094,"Fragilidade, capacidade funcional e síndromes geriátricas",Clínico,Medicina de Família e Comunidade,"Fragilidade, capacidade funcional e síndromes geriátricas",a_definir,conjunto geriátrico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,IDEA-P4-092,,,2026-09-15,
IDEA-P4-095,Violência nos diferentes ciclos de vida,Clínico,Medicina de Família e Comunidade,Violência nos diferentes ciclos de vida,complete_pack,pack transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-096,Comportamento suicida na APS,Clínico,Medicina de Família e Comunidade,Comportamento suicida na APS,material,material clínico sensível,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,"Tema sensível; exigirá cuidado editorial adicional na triagem.",2026-09-15,
IDEA-P4-097,"Vacinação de adolescentes, adultos e idosos",Clínico,Medicina de Família e Comunidade,"Vacinação de adolescentes, adultos e idosos",material,material preventivo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-098,"Dermatoses comuns na APS: zoodermatoses e piodermites",Clínico,Medicina de Família e Comunidade,"Dermatoses comuns na APS: zoodermatoses e piodermites",a_definir,conjunto dermatológico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-099,Cuidados paliativos na APS,Clínico,Medicina de Família e Comunidade,Cuidados paliativos na APS,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Medicina de Família e Comunidade I",a_definir,,,,2026-09-15,
IDEA-P4-100,Terminologia médica em inglês,Transversal/Profissional,Clinical Experience,Terminologia médica em inglês,a_definir,competência transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-101,Leitura estruturada de casos clínicos em inglês,Transversal/Profissional,Clinical Experience,Leitura estruturada de casos clínicos em inglês,a_definir,habilidade transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-102,Apresentação de casos clínicos em inglês,Transversal/Profissional,Clinical Experience,Apresentação de casos clínicos em inglês,a_definir,habilidade de comunicação,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-103,Leitura crítica de artigos científicos internacionais,Transversal/Profissional,Clinical Experience,Leitura crítica de artigos científicos internacionais,a_definir,competência de MBE,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-104,Estrutura e apresentação de artigos científicos,Transversal/Profissional,Clinical Experience,Estrutura e apresentação de artigos científicos,a_definir,habilidade acadêmica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-105,Discussão de diagnóstico diferencial em inglês,Transversal/Profissional,Clinical Experience,Discussão de diagnóstico diferencial em inglês,a_definir,habilidade clínica-linguística,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-106,"Comunicação médica intercultural, ética e profissional",Transversal/Profissional,Clinical Experience,"Comunicação médica intercultural, ética e profissional",a_definir,competência transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-107,Inglês como ferramenta de educação médica continuada,Transversal/Profissional,Clinical Experience,Inglês como ferramenta de educação médica continuada,a_definir,trilha transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Clinical Experience",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-108,Construção da carreira e identidade profissional médica,Transversal/Profissional,Plano de Desenvolvimento Individual,Construção da carreira e identidade profissional médica,a_definir,formação profissional,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-109,Demografia médica no Brasil,Transversal/Profissional,Plano de Desenvolvimento Individual,Demografia médica no Brasil,a_definir,formação profissional/saúde coletiva,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-110,"Residência médica, especialização e carreira acadêmica",Transversal/Profissional,Plano de Desenvolvimento Individual,"Residência médica, especialização e carreira acadêmica",a_definir,orientação de carreira,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-111,Leitura crítica de editais de residência médica,Transversal/Profissional,Plano de Desenvolvimento Individual,Leitura crítica de editais de residência médica,a_definir,habilidade prática,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-112,Currículo profissional e Plataforma Lattes,Transversal/Profissional,Plano de Desenvolvimento Individual,Currículo profissional e Plataforma Lattes,a_definir,habilidade prática,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-113,Gestão e guarda de documentos da trajetória acadêmica,Transversal/Profissional,Plano de Desenvolvimento Individual,Gestão e guarda de documentos da trajetória acadêmica,a_definir,habilidade prática,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-114,Mentoria e planejamento de curso,Transversal/Profissional,Plano de Desenvolvimento Individual,Mentoria e planejamento de curso,a_definir,formação profissional,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-115,Liderança transformadora,Transversal/Profissional,Plano de Desenvolvimento Individual,Liderança transformadora,a_definir,competência profissional,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-116,"Bem-estar, qualidade de vida e resiliência do estudante/médico",Transversal/Profissional,Plano de Desenvolvimento Individual,"Bem-estar, qualidade de vida e resiliência do estudante/médico",a_definir,formação profissional,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
IDEA-P4-117,Reflexão longitudinal sobre decisões e trajetória profissional,Transversal/Profissional,Plano de Desenvolvimento Individual,Reflexão longitudinal sobre decisões e trajetória profissional,a_definir,formação profissional,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Plano de Desenvolvimento Individual I",a_definir,,,"Formação transversal/profissional; fora da árvore clínica.",2026-09-15,
